date,open,high,low,close,volume
2025-02-24,115.9375,116.5,115.5625,116.34375,1186807
2025-02-25,116.21875,117.84375,116.1875,117.65625,1510671
2025-02-26,117.625,118.3125,117.15625,118.28125,598099
2025-02-27,118.21875,118.3125,117.4375,117.71875,146479
2025-02-28,117.96875,118.8125,117.78125,118.3125,61326
2025-03-03,118.3125,119.375,117.875,119.03125,58137
2025-03-04,119.34375,119.75,118.03125,118.4375,36995
2025-03-05,117.90625,118.65625,117.4375,117.75,46048
2025-03-06,117.25,117.53125,116.65625,117.34375,68929
2025-03-07,117.40625,118.125,116.84375,116.90625,9162
2025-03-10,117.3125,118.3125,117.28125,118.15625,5049
2025-03-11,118.3125,118.5,117.1875,117.1875,1031
2025-03-12,117.34375,117.40625,116.78125,116.8125,189
2025-03-13,116.5,117.4375,116.5,117.4375,238
2025-03-14,117.4375,117.4375,116.8125,117.03125,108
2025-03-17,117.5,117.71875,117.25,117.25,780
2025-03-18,116.875,117.625,116.875,117.53125,6672
2025-03-19,117.46875,117.96875,117.15625,117.78125,5214
2025-03-20,118.1875,118.5625,118.125,118.15625,431231
2025-03-21,117.6875,118.1875,117.34375,117.375,412738
2025-03-24,117.375,117.4375,116.28125,116.40625,333016
2025-03-25,116.34375,116.78125,115.84375,116.59375,353747
2025-03-26,116.5,116.5,115.8125,116.15625,396956
2025-03-27,116.0,116.25,115.25,115.65625,409291
2025-03-28,115.6875,117.1875,115.65625,117.09375,475786
2025-03-31,117.28125,118.0625,117.09375,117.28125,660014
2025-04-01,117.84375,118.90625,117.65625,118.59375,555045
2025-04-02,118.375,119.28125,117.59375,118.0,605171
2025-04-03,119.15625,120.15625,119.09375,119.40625,843269
2025-04-04,119.625,121.84375,119.4375,120.59375,1192319
2025-04-07,121.21875,122.15625,116.75,117.625,1472527
2025-04-08,117.1875,118.0,114.96875,115.75,1035663
2025-04-09,115.0,115.71875,111.53125,114.53125,1459412
2025-04-10,115.21875,116.34375,113.5,113.875,839452
2025-04-11,113.6875,114.125,111.65625,113.1875,817775
2025-04-14,113.34375,114.5625,112.5,114.5,442548
2025-04-15,114.3125,115.03125,113.75,114.84375,397324
2025-04-16,114.75,115.46875,114.375,115.28125,436891
2025-04-17,115.34375,115.4375,114.25,114.5625,308975
2025-04-21,114.3125,114.40625,112.84375,113.03125,426535
2025-04-22,113.09375,113.90625,112.71875,113.59375,385988
2025-04-23,114.0625,115.96875,113.90625,114.15625,685331
2025-04-24,114.3125,115.25,114.25,115.1875,333365
2025-04-25,115.03125,116.28125,114.875,115.8125,341986
2025-04-28,116.09375,116.53125,115.4375,116.375,323496
2025-04-29,116.40625,117.1875,115.9375,117.0625,292123
2025-04-30,116.96875,117.65625,116.0625,116.625,662443
2025-05-01,116.5625,117.21875,115.75,115.875,353634
2025-05-02,116.03125,116.4375,114.75,114.90625,386194
2025-05-05,115.03125,115.34375,114.125,114.5,300705
2025-05-06,114.4375,114.96875,113.96875,114.75,363637
2025-05-07,115.0,115.59375,114.5625,115.375,304864
2025-05-08,115.375,115.46875,114.0625,114.40625,408614
2025-05-09,114.15625,114.59375,113.78125,114.34375,283069
2025-05-12,114.0625,114.15625,113.21875,113.5,461856
2025-05-13,113.3125,113.71875,112.59375,112.6875,438472
2025-05-14,113.15625,113.34375,112.1875,112.375,398547
2025-05-15,112.3125,113.53125,111.90625,113.0625,443184
2025-05-16,113.4375,114.03125,112.53125,113.375,339777
2025-05-19,112.5625,113.28125,111.46875,112.78125,599843
2025-05-20,113.21875,113.53125,112.03125,112.5625,525337
2025-05-21,112.46875,112.71875,110.75,110.78125,936632
2025-05-22,110.75,111.5,110.03125,111.1875,1200398
2025-05-23,111.4375,112.5,111.25,111.65625,943898
2025-05-27,111.59375,113.0,110.9375,112.90625,1222270
2025-05-28,112.71875,112.9375,111.96875,112.34375,406284
2025-05-29,112.3125,113.3125,111.5625,113.1875,81156
2025-05-30,113.15625,113.5625,112.875,113.1875,17613
2025-06-02,113.375,113.40625,112.3125,112.375,8019
2025-06-03,112.6875,113.21875,112.4375,112.625,16414
2025-06-04,112.65625,114.28125,112.53125,114.0625,4991
2025-06-05,114.0,114.53125,113.84375,113.96875,0
2025-06-06,113.96875,113.96875,112.59375,112.65625,1054
2025-06-09,112.90625,112.96875,112.4375,112.875,1265
2025-06-10,112.9375,113.4375,112.9375,113.09375,1371
2025-06-11,113.0,113.8125,112.9375,113.78125,1378
2025-06-12,114.21875,114.84375,114.21875,114.78125,88
2025-06-13,115.28125,115.4375,113.75,113.75,715
2025-06-16,113.375,113.875,113.125,113.125,712
2025-06-17,113.40625,114.09375,113.40625,114.09375,415
2025-06-18,114.53125,114.75,114.15625,114.5625,0
2025-06-20,113.59375,114.0,112.90625,113.78125,339080
2025-06-23,114.0,114.71875,113.25,114.34375,389700
2025-06-24,114.03125,114.8125,113.5625,114.71875,430423
2025-06-25,114.625,115.0,114.03125,114.5625,319722
2025-06-26,114.59375,115.1875,114.4375,114.9375,368579
2025-06-27,115.09375,115.28125,114.34375,114.46875,424439
2025-06-30,114.46875,115.53125,114.1875,115.46875,598080
2025-07-01,115.4375,116.09375,114.9375,115.375,422944
2025-07-02,115.59375,115.59375,114.40625,114.6875,382014
2025-07-03,114.84375,115.34375,113.96875,114.25,0
2025-07-04,114.28125,114.6875,114.15625,114.28125,0
2025-07-07,114.21875,114.40625,113.125,113.21875,420457
2025-07-08,113.5,113.53125,112.65625,113.03125,314181
2025-07-09,113.25,114.1875,112.96875,114.0625,351928
2025-07-10,114.15625,114.40625,113.71875,114.25,315205
2025-07-11,114.09375,114.34375,112.8125,112.90625,321934
2025-07-14,113.0,113.09375,112.46875,112.75,336023
2025-07-15,112.625,113.3125,111.9375,111.96875,449358
2025-07-16,112.0625,112.71875,111.34375,112.15625,654866
2025-07-17,112.125,112.59375,111.65625,112.125,341042
2025-07-18,112.21875,112.65625,112.1875,112.4375,229420
2025-07-21,112.625,113.78125,112.40625,113.4375,343641
2025-07-22,113.3125,114.0625,113.0,113.96875,328448
2025-07-23,113.75,113.78125,113.09375,113.34375,349610
2025-07-24,113.46875,113.53125,112.65625,113.28125,331859
2025-07-25,113.40625,113.71875,112.9375,113.59375,289262
2025-07-28,113.4375,113.9375,113.09375,113.15625,300610
2025-07-29,113.1875,114.6875,113.09375,114.53125,525170
2025-07-30,114.625,114.78125,113.78125,113.875,470441
2025-07-31,113.9375,114.625,113.90625,114.1875,488362
2025-08-01,114.0,115.84375,113.3125,115.6875,591565
2025-08-04,115.59375,116.0,115.0,115.90625,387123
2025-08-05,115.90625,116.21875,115.5625,116.125,365121
2025-08-06,115.875,115.96875,114.34375,115.5625,483437
2025-08-07,115.4375,115.90625,115.28125,115.53125,374689
2025-08-08,115.4375,115.5625,114.84375,115.0,264710
2025-08-11,115.0,115.46875,114.96875,115.15625,215981
2025-08-12,115.03125,115.65625,114.3125,114.65625,410549
2025-08-13,114.6875,115.65625,114.5625,115.5,303407
2025-08-14,115.5,115.96875,114.625,114.65625,367143
2025-08-15,114.75,115.03125,113.9375,114.0,357347
2025-08-18,114.09375,114.5625,113.59375,113.78125,301197
2025-08-19,113.90625,114.40625,113.65625,114.34375,369664
2025-08-20,114.25,114.71875,114.0,114.40625,480805
2025-08-21,114.5,114.59375,113.75,114.0625,566169
2025-08-22,114.1875,115.125,113.90625,114.84375,870258
2025-08-25,114.90625,115.0,114.3125,114.71875,1026850
2025-08-26,114.6875,114.8125,113.90625,114.59375,731834
2025-08-27,114.40625,114.65625,113.875,114.625,335892
2025-08-28,114.53125,115.25,114.53125,115.1875,109217
2025-08-29,115.21875,115.21875,114.4375,114.65625,0
2025-09-02,114.65625,114.65625,113.5,113.875,10342
